date,sst,sst_anomaly,mhw_days,year,month,oni,enso_phase
1996-03-01,14.808573919354838,0.7581497279569893,6,1996,3,-0.59,La Niña
1996-04-01,15.146990033333333,0.8939565466666667,23,1996,4,-0.39,Neutral
1996-05-01,15.724174677419354,0.9179786666666667,8,1996,5,-0.31,Neutral
1996-06-01,15.6752936,0.1322786416666668,0,1996,6,-0.3,Neutral
1996-07-01,16.74057535483871,-0.007582299999999792,0,1996,7,-0.27,Neutral
1996-08-01,17.51446935483871,-0.11468839032258095,0,1996,8,-0.32,Neutral
1996-09-01,17.670710466666666,-0.18940404444444434,0,1996,9,-0.35,Neutral
1996-10-01,16.70431696774194,-0.7013293258064518,0,1996,10,-0.4,Neutral
1996-11-01,15.653055983333333,-0.6473449494444445,0,1996,11,-0.45,Neutral
1996-12-01,14.951404241935485,-0.009767194623655889,0,1996,12,-0.49,Neutral
1997-01-01,14.58260941935484,0.38022166021505394,0,1997,1,-0.5,La Niña
1997-02-01,14.315908803571428,0.30459831845238095,0,1997,2,-0.36,Neutral
1997-03-01,14.093138516129033,0.04271432473118276,0,1997,3,-0.1,Neutral
1997-04-01,14.33422575,0.08119226333333357,0,1997,4,0.28,Neutral
1997-05-01,16.006807758064518,1.2006117473118278,18,1997,5,0.75,El Niño
1997-06-01,16.6626697,1.119654741666667,9,1997,6,1.22,El Niño
1997-07-01,17.51065635483871,0.7624987000000003,12,1997,7,1.6,El Niño
1997-08-01,18.995809,1.3666512548387095,25,1997,8,1.9,El Niño
1997-09-01,19.643278300000002,1.7831637888888887,30,1997,9,2.14,El Niño
1997-10-01,18.59045141935484,1.1848051258064516,28,1997,10,2.33,El Niño
1997-11-01,17.973547033333332,1.6731461005555555,30,1997,11,2.4,El Niño
1997-12-01,16.40585170967742,1.4446802731182795,31,1997,12,2.39,El Niño
1998-01-01,15.717276451612904,1.5148886924731184,31,1998,1,2.24,El Niño
1998-02-01,15.236159125,1.2248486398809522,27,1998,2,1.93,El Niño
1998-03-01,14.76701020967742,0.71658601827957,5,1998,3,1.44,El Niño
1998-04-01,14.6553605,0.4023270133333333,0,1998,4,0.99,El Niño
1998-05-01,15.440962822580646,0.634766811827957,0,1998,5,0.45,Neutral
